query_id,n_highest,n_judged,Recall@20,Recall@50,Recall@100,Recall@200,Recall@500,Recall@1000,cNDCG@10
165,6,40,0.0,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5918743329946466
433,7,40,0.5714285714285714,0.8571428571428571,1.0,1.0,1.0,1.0,0.423459839217459
500,22,40,0.7727272727272727,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,0.8019174103317278
541,7,16,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.6605510469148305
598,14,39,0.0,0.35714285714285715,0.5714285714285714,0.7857142857142857,1.0,1.0,0.4317681178424832
600,26,39,0.5769230769230769,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.9615384615384616,1.0,0.8767137607315193
602,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.6040989059376968
622,26,40,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,0.3510008126178076
637,13,16,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,0.8634140280297681
861,24,40,0.16666666666666666,0.5833333333333334,0.9583333333333334,1.0,1.0,1.0,0.2660448697938641
933,4,16,0.75,1.0,1.0,1.0,1.0,1.0,0.33404102246988093
978,12,16,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.738437828543569
1210,2,35,0.0,0.0,0.0,0.0,0.0,0.0,0.6007089761718172
1293,10,39,0.4,0.9,1.0,1.0,1.0,1.0,0.14032079029531916
1310,1,40,1.0,1.0,1.0,1.0,1.0,1.0,0.09862273827476846
1458,15,39,0.8,1.0,1.0,1.0,1.0,1.0,0.6410457898283652
1476,17,40,0.6470588235294118,0.8823529411764706,0.9411764705882353,1.0,1.0,1.0,0.6871335476007446
1530,17,40,0.6470588235294118,1.0,1.0,1.0,1.0,1.0,0.7572991609662927
1659,5,40,0.6,0.8,0.8,1.0,1.0,1.0,0.4935955822248532
1816,4,16,0.75,1.0,1.0,1.0,1.0,1.0,0.1285090052522358
2286,13,39,0.23076923076923078,0.46153846153846156,0.6923076923076923,0.9230769230769231,1.0,1.0,0.5073227815429426
2390,2,16,0.5,1.0,1.0,1.0,1.0,1.0,0.22227908342726632
2692,7,16,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.478648404086185
2855,7,40,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8250976988335302
3012,5,17,0.6,1.0,1.0,1.0,1.0,1.0,0.44555332282583665
3492,1,15,1.0,1.0,1.0,1.0,1.0,1.0,0.6677387466864252
3494,11,16,1.0,1.0,1.0,1.0,1.0,1.0,0.7252855342839858
3986,14,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8295307133966857
4299,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
4321,5,32,0.0,0.0,0.0,0.0,0.2,0.4,0.3464685700802792
4860,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.609424934431565
4956,7,16,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.6452175925141136
5079,10,16,0.4,0.4,0.4,0.4,0.5,0.9,0.4209367947369636
5094,11,16,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.7439955838914349
5419,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8303585053364649
5787,2,13,0.5,0.5,1.0,1.0,1.0,1.0,0.9179846168638494
5921,2,17,1.0,1.0,1.0,1.0,1.0,1.0,0.9298978568474114
6138,3,15,1.0,1.0,1.0,1.0,1.0,1.0,0.5956058396990326
6685,8,16,0.625,1.0,1.0,1.0,1.0,1.0,0.5961516802676717
7034,1,15,0.0,0.0,1.0,1.0,1.0,1.0,0.5925498905320977
7126,7,14,1.0,1.0,1.0,1.0,1.0,1.0,0.9588714769117952
7303,12,16,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.7628098086097717
7340,2,16,1.0,1.0,1.0,1.0,1.0,1.0,0.6048047613542867
7545,12,16,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.699353699802206
7581,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8275947830665039
8063,12,16,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,0.9305687780632225
8519,8,16,0.75,1.0,1.0,1.0,1.0,1.0,0.34736906442993165
8605,6,16,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.792884011849373
8740,1,16,1.0,1.0,1.0,1.0,1.0,1.0,0.545111004047328
9096,11,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9294415579191919
9695,9,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5582683567933203
9776,9,16,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,0.7228997933244817
9967,3,16,1.0,1.0,1.0,1.0,1.0,1.0,0.5183322919267586
10312,20,39,0.4,0.6,0.95,0.95,1.0,1.0,0.6456301926078253
10370,10,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8482378089219645
11509,5,14,0.2,0.4,0.6,0.8,1.0,1.0,0.5732508098912505
11621,1,15,1.0,1.0,1.0,1.0,1.0,1.0,0.754744514721805
11875,5,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9244627790188504
11925,28,40,0.42857142857142855,0.6428571428571429,0.7857142857142857,1.0,1.0,1.0,0.9999999999999998
12176,27,51,0.25925925925925924,0.3333333333333333,0.4444444444444444,0.6296296296296297,1.0,1.0,0.7071290459621771
12432,12,16,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.75,0.9166666666666666,1.0,0.8125357007707011
12557,8,40,0.375,0.375,0.5,0.5,0.5,0.5,0.5349299955850043
12664,5,18,1.0,1.0,1.0,1.0,1.0,1.0,0.6160017010342501
12809,4,16,0.75,1.0,1.0,1.0,1.0,1.0,0.9501601486615345
13089,32,38,0.5,1.0,1.0,1.0,1.0,1.0,0.738437828543569
13169,11,16,0.6363636363636364,0.8181818181818182,1.0,1.0,1.0,1.0,0.546547535028637
13471,21,40,0.5714285714285714,0.9047619047619048,1.0,1.0,1.0,1.0,0.8414929602590189
13639,15,16,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,0.7799082337019199
13785,8,16,0.75,1.0,1.0,1.0,1.0,1.0,0.8974774795149025
13954,13,16,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0,0.7305980016457014
14346,10,16,0.4,0.5,0.5,0.7,0.9,0.9,0.750637296052051
14880,4,16,0.75,1.0,1.0,1.0,1.0,1.0,0.715663226334951
14882,11,39,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,0.3734539586740694
15154,28,32,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.7983949946363419
15164,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.8988239495522241
15311,10,16,0.9,1.0,1.0,1.0,1.0,1.0,0.7390203713558092
15647,21,40,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,0.753368144880728
15716,14,40,0.7857142857142857,0.9285714285714286,0.9285714285714286,1.0,1.0,1.0,0.8802531908778437
15777,12,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9375119002569003
15807,15,16,0.8,1.0,1.0,1.0,1.0,1.0,0.9337457765456108
16613,9,16,0.6666666666666666,0.7777777777777778,1.0,1.0,1.0,1.0,0.8432256769210273
16684,13,16,1.0,1.0,1.0,1.0,1.0,1.0,0.650580352509708
17384,11,16,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,0.6460494403183242
17607,17,27,0.7058823529411765,1.0,1.0,1.0,1.0,1.0,0.5409377816875371
17689,3,16,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.4531429494567834
